Year,Month,Minimum Temperature,Mean Temperature,Maximum Temperature
2017.0,1.0,-6.7,32.58064516129032,64.8
2017.0,2.0,12.7,43.089285714285715,78.4
2017.0,3.0,18.5,48.525806451612915,91.9
2017.0,4.0,29.5,56.59000000000001,83.3
2017.0,5.0,37.4,64.0,90.3
2017.0,6.0,48.7,75.01333333333334,96.1
2017.0,7.0,56.8,80.26451612903223,104.4
2017.0,8.0,50.2,71.9483870967742,94.1
2017.0,9.0,41.5,71.75666666666666,96.1
2017.0,10.0,21.0,57.77741935483871,88.9
2017.0,11.0,14.0,45.94000000000001,81.0
2017.0,12.0,-4.0,33.76451612903225,71.1
2018.0,1.0,-10.1,28.903225806451612,66.7
2018.0,2.0,-4.7,31.875000000000007,71.8
2018.0,3.0,10.9,45.170967741935485,78.3
2018.0,4.0,17.1,47.85666666666667,88.3
2018.0,5.0,51.6,72.97096774193548,97.0
2018.0,6.0,52.2,79.73000000000002,105.4
2018.0,7.0,56.1,79.09999999999998,103.1
2018.0,8.0,56.1,76.82903225806453,99.9
2018.0,9.0,40.5,70.19666666666666,93.7
2018.0,10.0,28.0,53.73548387096774,90.5
2018.0,11.0,8.1,37.04666666666667,65.5
2018.0,12.0,12.0,34.28709677419354,57.9
2019.0,1.0,1.0,30.441935483870967,64.0
2019.0,2.0,1.9,27.735714285714288,71.1
2019.0,3.0,-2.9,40.9225806451613,75.9
2019.0,4.0,26.1,57.99,87.1
2019.0,5.0,41.0,63.21935483870966,91.0
2019.0,6.0,46.9,74.81666666666666,98.1
2019.0,7.0,54.0,80.03870967741933,100.9
2019.0,8.0,55.0,76.78387096774195,97.0
2019.0,9.0,53.1,76.42000000000002,96.1
2019.0,10.0,17.1,51.5,91.0
2019.0,11.0,5.0,40.53666666666666,71.1
2019.0,12.0,7.0,35.92580645161291,68.0
2020.0,1.0,3.6,32.28387096774194,59.4
2020.0,2.0,3.0,34.33793103448276,70.7
2020.0,3.0,17.2,48.01290322580645,78.8
2020.0,4.0,22.5,53.43333333333332,87.4
2020.0,5.0,32.5,61.58064516129031,83.8
2020.0,6.0,50.7,77.64999999999996,92.8
2020.0,7.0,59.2,78.52580645161291,95.0
2020.0,8.0,50.7,75.61612903225806,95.5
2020.0,9.0,37.9,66.02999999999999,96.4
2020.0,10.0,23.4,52.89354838709678,92.5
2020.0,11.0,14.9,48.46000000000001,82.2
2020.0,12.0,7.9,35.21290322580645,69.6
2021.0,1.0,14.2,34.08064516129032,58.8
2021.0,2.0,-24.2,22.38518518518519,73.4
2021.0,3.0,,,
2021.0,4.0,,,
2021.0,5.0,,,
2021.0,6.0,,,
2021.0,7.0,,,
2021.0,8.0,,,
2021.0,9.0,,,
2021.0,10.0,,,
2021.0,11.0,,,
2021.0,12.0,,,
